[INFO ] [2022-11-09 21:48:37,106] Click button RegisterLink
[INFO ] [2022-11-09 21:48:39,840] clickToGenderMailRadioButton
[INFO ] [2022-11-09 21:48:40,148] clickToGenderMailRadioButton
[INFO ] [2022-11-09 21:48:40,563] clickToGenderMailRadioButton
[INFO ] [2022-11-09 21:48:40,746] selectDayDropdown
[INFO ] [2022-11-09 21:48:41,153] selectMonthDropdown
[INFO ] [2022-11-09 21:48:41,307] selectYearDropdown
[INFO ] [2022-11-09 21:48:41,468] inputToEmailTextBox
[INFO ] [2022-11-09 21:48:41,684] inputToPasswordTextBox
[INFO ] [2022-11-09 21:48:41,859] inputToConfirmPasswordTextBox
[INFO ] [2022-11-09 21:48:42,045] inputToCompanyTextbox
[INFO ] [2022-11-09 21:48:42,237] clickToRegisterButton
[INFO ] [2022-11-09 21:48:43,732] Hahaha
[INFO ] [2022-11-09 21:48:49,292] Test Verify
[INFO ] [2022-11-09 21:48:49,369]  -------------------------- PASSED -------------------------- 
